class,iou
aeroplane,0.59089195728302
bicycle,0.2001757174730301
bird,0.3678109049797058
boat,0.3555307686328888
bottle,0.3824012577533722
bus,0.5877997875213623
car,0.37611210346221924
cat,0.6673635244369507
chair,0.077121801674366
cow,0.5929813385009766
dining table,0.1641131192445755
dog,0.5836086273193359
horse,0.5707331895828247
motorbike,0.299324631690979
person,0.20715470612049103
potted plant,0.23645052313804626
sheep,0.5217223167419434
sofa,0.1917337328195572
train,0.7114296555519104
tv monitor,0.346869558095932
