class,iou
aeroplane,0.5214838981628418
bicycle,0.14954112470149994
bird,0.34566402435302734
boat,0.38222089409828186
bottle,0.3148786723613739
bus,0.5826773047447205
car,0.48296117782592773
cat,0.598503828048706
chair,0.07422906160354614
cow,0.5628238320350647
dining table,0.20658369362354279
dog,0.5128266215324402
horse,0.6347188353538513
motorbike,0.2005750685930252
person,0.02751218155026436
potted plant,0.15087810158729553
sheep,0.5092533230781555
sofa,0.14870445430278778
train,0.6303006410598755
tv monitor,0.30563464760780334
