class,iou
aeroplane,0.3799143135547638
bicycle,0.15360958874225616
bird,0.3096998631954193
boat,0.2937287390232086
bottle,0.24724531173706055
bus,0.4969072937965393
car,0.44626718759536743
cat,0.55759197473526
chair,0.047056008130311966
cow,0.5230419039726257
dining table,0.19782313704490662
dog,0.49193137884140015
horse,0.5889061093330383
motorbike,0.21104796230793
person,0.003537051845341921
potted plant,0.13046438992023468
sheep,0.5140207409858704
sofa,0.1331222504377365
train,0.39695388078689575
tv monitor,0.25071150064468384
