class,iou
aeroplane,3.934235337510472e-06
bicycle,0.0
bird,0.0003726285940501839
boat,0.007459839805960655
bottle,0.028691519051790237
bus,0.00010628598829498515
car,0.0018617260502651334
cat,0.0
chair,0.0010835126740857959
cow,7.331510278163478e-05
dining table,0.04510636255145073
dog,5.305886929818371e-07
horse,0.006776833441108465
motorbike,3.4798586057149805e-06
person,0.22339113056659698
potted plant,0.0
sheep,0.0
sofa,0.0030719677451997995
train,1.5541419998044148e-05
tv monitor,3.29298636643216e-05
