class,iou
aeroplane,0.8124786615371704
bicycle,0.42853042483329773
bird,0.6914040446281433
boat,0.613352358341217
bottle,0.6137539744377136
bus,0.878834068775177
car,0.8292641639709473
cat,0.864713191986084
chair,0.32406848669052124
cow,0.808746874332428
dining table,0.3882485628128052
dog,0.8554121255874634
horse,0.8107203245162964
motorbike,0.6105281710624695
person,0.5539924502372742
potted plant,0.6781274080276489
sheep,0.8417182564735413
sofa,0.5406631231307983
train,0.8468737602233887
tv monitor,0.6614901423454285
