class,iou
aeroplane,0.7004006505012512
bicycle,0.15771247446537018
bird,0.5007544159889221
boat,0.5216841101646423
bottle,0.13791048526763916
bus,0.5026383996009827
car,0.7446971535682678
cat,0.5438814759254456
chair,0.099620521068573
cow,0.32442301511764526
dining table,0.2210346907377243
dog,0.6305839419364929
horse,0.7339413166046143
motorbike,0.24609167873859406
person,0.03740151971578598
potted plant,0.38985714316368103
sheep,0.5906970500946045
sofa,0.3240979015827179
train,0.30740734934806824
tv monitor,0.28779155015945435
