class,iou
aeroplane,0.5029247403144836
bicycle,0.18443262577056885
bird,0.3510396182537079
boat,0.35102829337120056
bottle,0.3462435007095337
bus,0.5784432888031006
car,0.37654173374176025
cat,0.597877025604248
chair,0.04703182354569435
cow,0.5843670964241028
dining table,0.16444379091262817
dog,0.5663254261016846
horse,0.5470454096794128
motorbike,0.2839854061603546
person,0.09401743113994598
potted plant,0.23298518359661102
sheep,0.5497758388519287
sofa,0.18904748558998108
train,0.704619824886322
tv monitor,0.34785231947898865
